estado,inicio,varinicio,varfim,ID,;,int,real,lit,leia,escreva,Literal,Num,RCB,OPM,se,(,),entao,OPR,fimse,fim,enquanto,faca,fimenquanto,$,P’,P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,CORPO,EXP_R,CORPO,REP,CORPO_ENQUANTO
55,,,,,,,,,,,,,,,,,,,,,,,,,R(16),,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,R(22),,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,R(31),,,,,,,,,,,,,,,,,,,
58,,,,R(23),,,,,R(23),R(23),,,,,R(23),,,,,R(23),R(23),R(23),,R(23),,,,,,,,,,,,,,,,,,,,
59,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,S(61),,S(49),,,,,,,,,,,59,,62,,,64,40,60,,,66,
60,,,,R(26),,,,,R(26),R(26),,,,,R(26),,,,,R(26),R(26),R(26),,R(26),,,,,,,,,,,,,,,,,,,,
61,,,,R(29),,,,,R(29),R(29),,,,,R(29),,,,,R(29),R(29),R(29),,R(29),,,,,,,,,,,,,,,,,,,,
62,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,S(61),,S(49),,,,,,,,,,,59,,62,,,64,40,63,,,66,
63,,,,R(27),,,,,R(27),R(27),,,,,R(27),,,,,R(27),R(27),R(27),,R(27),,,,,,,,,,,,,,,,,,,,
64,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,S(61),,S(49),,,,,,,,,,,59,,62,,,64,40,65,,,66,
65,,,,R(28),,,,,R(28),R(28),,,,,R(28),,,,,R(28),R(28),R(28),,R(28),,,,,,,,,,,,,,,,,,,,
66,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,S(61),,S(49),,,,,,,,,,,59,,62,,,64,40,67,,,66,
67,,,,R(34),,,,,R(34),R(34),,,,,R(34),,,,,R(34),R(34),R(34),,R(34),,,,,,,,,,,,,,,,,,,,
68,,,,R(37),,,,,R(37),R(37),,,,,R(37),,,,,R(37),R(37),R(37),,R(37),,,,,,,,,,,,,,,,,,,,
69,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,,S(49),,,,,,,,,,,69,,71,,,73,40,,,,75,70
70,,,,R(36),,,,,R(36),R(36),,,,,R(36),,,,,R(36),R(36),R(36),,R(36),,,,,,,,,,,,,,,,,,,,
71,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,,S(49),,,,,,,,,,,69,,71,,,73,40,,,,75,72
72,,,,R(38),,,,,R(38),R(38),,,,,R(38),,,,,R(38),R(38),R(38),,R(38),,,,,,,,,,,,,,,,,,,,
73,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,,S(49),,,,,,,,,,,69,,71,,,73,40,,,,75,74
74,,,,R(33),,,,,R(33),R(33),,,,,R(33),,,,,R(33),R(33),R(33),,R(33),,,,,,,,,,,,,,,,,,,,
75,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,,S(49),,,,,,,,,,,69,,71,,,73,40,,,,75,76
76,,,,R(35),,,,,R(35),R(35),,,,,R(35),,,,,R(35),R(35),R(35),,R(35),,,,,,,,,,,,,,,,,,,,
77,,,,R(32),,,,,R(32),R(32),,,,,R(32),,,,,R(32),R(32),R(32),,R(32),,,,,,,,,,,,,,,,,,,,
